City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,newman,37.3138,-121.0208,99.01,6,0,5.01,US,1720471629
113,port elizabeth,-33.918,25.5701,57.09,62,20,28.77,ZA,1720471630
114,lebu,-37.6167,-73.65,46.99,77,0,21.03,CL,1720471631
115,palangkaraya,-2.2,113.8333,73.26,96,100,2.3,ID,1720471632
116,saudarkrokur,65.7461,-19.6394,55.51,68,80,0.36,IS,1720471633
117,inhambane,-23.865,35.3833,67.23,62,0,9.33,MZ,1720471634
118,thabazimbi,-24.5917,27.4116,42.73,33,0,4.5,ZA,1720471635
119,crane,31.3974,-102.3501,92.21,30,30,8.55,US,1720471637
120,cannonvale,-20.2833,148.7,67.39,92,8,9.51,AU,1720471639
121,tolanaro,-25.0319,46.9987,71.67,73,20,20.71,MG,1720471640
122,mokhsogollokh,61.4681,128.9203,60.73,67,0,3.15,RU,1720471641
123,kabalo,-6.05,26.9167,77.16,28,12,4.36,CD,1720471642
124,sona,45.4388,10.8255,78.35,72,0,5.75,IT,1720471643
125,kerikeri,-35.2268,173.9474,49.91,93,89,3.0,NZ,1720471644
126,vadso,70.0744,29.7487,54.48,81,75,13.8,NO,1720471645
127,iqaluit,63.7506,-68.5145,42.53,81,100,8.05,CA,1720471647
128,anadyr,64.75,177.4833,48.7,100,75,11.18,RU,1720471648
129,codrington,-38.2667,141.9667,51.15,94,36,7.0,AU,1720471649
130,port hedland,-20.3167,118.5667,59.05,55,1,9.22,AU,1720471650
131,pansoy,13.1825,122.5989,78.94,84,100,11.07,PH,1720471651
132,dudinka,69.4058,86.1778,55.9,68,96,14.88,RU,1720471652
133,rudnichnyy,59.617,52.4703,59.11,93,2,1.77,RU,1720471653
134,volosovo,59.4333,29.4833,52.09,97,53,4.61,RU,1720471654
135,bridgewater,44.3835,-64.5155,69.62,88,51,2.3,CA,1720471364
136,mont-laurier,46.5501,-75.4993,83.82,47,81,7.27,CA,1720471657
137,inaruwa,26.6011,87.1488,82.18,81,100,7.09,NP,1720471658
138,aasiaat,68.7098,-52.8699,38.82,93,100,10.8,GL,1720471659
139,mitchell,43.7094,-98.0298,82.38,52,0,6.91,US,1720471660
140,ancud,-41.8697,-73.8203,45.14,72,68,7.63,CL,1720471661
141,cockburn town,21.4612,-71.1419,82.22,84,12,16.44,TC,1720471463
142,hajin,34.6927,40.827,96.64,20,0,6.89,SY,1720471663
143,freetown,8.484,-13.2299,78.51,89,75,16.11,SL,1720471664
144,dickinson,29.4608,-95.0513,82.02,83,100,8.01,US,1720471665
145,keflavik,64.0049,-22.5624,52.23,76,75,9.22,IS,1720471666
146,ilulissat,69.2167,-51.1,42.82,87,75,5.75,GL,1720471668
147,plettenberg bay,-34.0527,23.3716,52.77,59,99,19.01,ZA,1720471669
148,carauari,-4.8828,-66.8958,84.02,65,72,3.53,BR,1720471670
149,iwanai,42.9744,140.5089,66.88,91,36,3.11,JP,1720471671
150,khandyga,62.6667,135.6,64.06,58,8,1.54,RU,1720471672
151,forster,-32.1667,152.5167,54.37,100,100,6.35,AU,1720471673
152,baile herculane,44.8797,22.4125,74.64,54,0,5.82,RO,1720471674
153,fort st. john,56.2499,-120.8529,78.69,41,0,3.44,CA,1720471451
154,island harbour,50.724,-1.2758,59.22,76,100,13.0,GB,1720471676
155,malindi,-3.2175,40.1191,77.02,81,0,13.91,KE,1720471677
156,rongelap,11.1635,166.8941,82.56,80,36,16.46,MH,1720471679
157,at taj,24.2049,23.2857,83.89,22,29,9.93,LY,1720471680
158,nikolayevsk-on-amure,53.1406,140.73,51.35,99,100,2.93,RU,1720471681
159,hawaiian paradise park,19.5933,-154.9731,78.31,90,100,5.75,US,1720471682
160,sanya,18.2431,109.505,78.96,100,20,4.47,CN,1720471683
161,along,28.1667,94.7667,72.09,98,100,0.74,IN,1720471684
162,tazacorte,28.629,-17.9293,69.15,91,40,11.5,ES,1720471685
163,grytviken,-54.2811,-36.5092,29.19,77,13,12.24,GS,1720471686
164,saint-philippe,-21.3585,55.7679,64.11,67,9,6.35,RE,1720471687
165,puerto baquerizo moreno,-0.9,-89.6,79.79,83,40,11.5,EC,1720471688
166,roswell,34.0232,-84.3616,94.71,65,75,8.05,US,1720471470
167,san patricio,28.017,-97.5169,93.92,36,77,8.57,US,1720471691
168,vila do maio,15.1333,-23.2167,77.79,86,88,2.3,CV,1720471692
169,mata-utu,-13.2816,-176.1745,80.78,80,100,31.76,WF,1720471693
170,gizo,-8.103,156.8419,80.17,85,98,15.52,SB,1720471694
171,maridi,4.9158,29.4742,69.84,74,5,4.88,SS,1720471695
172,lihue,21.9789,-159.3672,83.44,69,75,13.8,US,1720471697
173,santa eularia des riu,38.9846,1.5341,77.31,85,0,5.75,ES,1720471698
174,kantharalak,14.6406,104.6499,77.27,89,100,5.57,TH,1720471699
175,st. john's,47.5649,-52.7093,63.79,85,53,3.0,CA,1720471701
176,saint-francois,46.4154,3.9054,71.04,68,0,5.75,FR,1720471702
177,howard springs,-12.497,131.047,71.51,91,72,5.14,AU,1720471703
178,enewetak,11.3474,162.3373,83.61,74,6,16.15,MH,1720471704
179,santa terezinha,-29.9002,-50.0904,51.4,71,100,11.68,BR,1720471705
180,petrolina,-9.3986,-40.5008,84.25,48,20,11.5,BR,1720471557
181,fale old settlement,-9.3852,-171.2468,83.3,79,98,22.73,TK,1720471707
182,gulf shores,30.246,-87.7008,93.38,71,40,12.66,US,1720471449
